.,Spanish
ContinueButton,Continuar
quest.name,La guarida de la Sierpe - Fase de campaña
quest.description,Fase de campaña
UIQuest1.text,<b>Buscador de oro</b>\n\n<i>Las huestes de Valyndra están buscando algo.</i>
UIQuest1.button1,Comenzar encuentro
UIQuest2.text,<b>Duro despertar</b>\n\n<i>Viajáis a la posada de Ladrillo Mojado, que parece un buen sitio para obtener información sobre el aurium.</i>
UIQuest2.button1,Comenzar encuentro
UIQuest3.text,<b>Lo que es tuyo es mío</b> \n\n <i> Debéis encontrar a Jorem en las minas de la Vigilia.</i>
UIQuest3.button1,Comenzar encuentro
UIQuest4.text,<b>En la forja</b> \n\n <i>Mientras buscáis a Jorem debéis entrar en la guarida de Valyndra. </i> \n\n Este encuentro es uno de los dos del encuentro final. Si los héroes pierden este encuentro, perderán la campaña. Si ganan este encuentro, tendrán otro encuentro más a continuación.
UIQuest4.button1,Comenzar encuentro final 1
UIQuest5.text,EstaAventuraNoseUsa
UIQuest5.button1,Comenzar encuentro
UIQuestFinale.text,<b>Armados hasta los dientes</b> \n\n <i>Una nueva y una vieja amenaza requieren toda vuestra atención. </i> Este es el encuentro final. Si los héroes ganan este encuentro, ganarán la campaña.
UIQuestFinale.button1,Comenzar encuentro final 2
UICity.text,Después de un día agotador, os apresuráis a regresar a la ciudad.
UICity.button1,{qst:ContinueButton}
UICityStartGame.text,<i>En la pequeña ciudad tratáis de encontrar más información acerca de los planes de Valyndra.</i>
UICityStartGame.button1,{qst:ContinueButton}
EventTransition.text,<b>Transición al Acto II</b> \n\n Devuelve a la caja del juego todas las cartas de Monstruo, de Lugarteniente y de Agente del Acto I. Durante el resto de la campaña sólo se usarán cartas de Monstruo, de Lugarteniente y de Agente del Acto II. \n\n <i>Adviertes un sustancial incremento en el número de comerciantes que viajan a la ciudad.</i> \n\n Encontrarás más mercaderes disponibles.
EventTransition.button1,{qst:ContinueButton}
EventBlackMarketNotEnoughGold.text,Te planteas el buscar a alguien que te pueda dar acceso a material menos legal, pero te das cuenta de que no tienes dinero para eso. \n\n No consigues encontrar a otro mercader.
EventBlackMarketNotEnoughGold.button1,{qst:ContinueButton}
EventButtonClick.button1,{qst:ContinueButton}
EventIconCityStartGame.button1,{qst:ContinueButton}
EventStartXpAndGold.text,<b>Equipo inicial</b>\n\n Los héroes comienzan la campaña con {var:$%gold} de oro y {var:$%xp} PE.
EventStartXpAndGold.button1,{qst:ContinueButton}
EventIconCityStartGame.text,<i>Vuestra búsqueda de Valyndra os ha llevado a una pequeña ciudad a la orilla de un gran lago cerca de las minas de la Vigilia. Allí preguntáis intentando recabar más información.</i>
EventCityELAct2.button4,Visitar la herrería
EventBlackSmith.button1,{qst:ContinueButton}
EventBlackSmithShowOptions.button1,Usar 2 minerales de aurium
EventBlackSmithNoAurium.text,<i>Lo siento, pero sin materiales para usar no puede hacer nada por vos. \n\n Regresad cuando tengáis algunos materiales. </i>
EventBlackSmithNoAurium.button1,{qst:ContinueButton}
EventBlackSmithShowOptions.button2,Usar 3 minerales de aurium
EventBlackSmithShowOptions.button3,Usar 4 minerales de aurium
EventBlackSmithItemAlreadyForgedItem2.button1,{qst:ContinueButton}
EventBlackSmithShowOptions.text,<i>¡Aurium! El material más magnífico de todo Terrinoth. Si lo deseáis puedo forjar para vos algo especial con esto. \n\n ¿Cuánto aurium puedo usar? </i> \n\n En este momento tenéis {var:%CurrentNumberOfAuriumPieces} minerales de aurium. Habéis encontrado {var:%FoundNumberOfAuriumPieces} de {var:%MaximumNumberOfAurium} minerales de aurium en esta campaña.
EventBlackSmithAuriumUse2.text,Los héroes gana la reliquia {c:QItemAuriumRelic2}.
EventBlackSmithAuriumUse2.button1,{qst:ContinueButton}
EventBlackSmithAuriumUse4_2.text,<i>¡Valyndra teme a esta arma más que a nada en el mundo!</i>\n\n Los héroes ganan la reliquia {c:QItemAuriumRelic4_2}.
EventBlackSmithAuriumUse4.button1,{qst:ContinueButton}
EventCityELAct2.button3,Mercado negro
EventCityELAct2.button2,Renovar el mercado
EventCityELAct2.button1,Dejar la ciudad
EventCity.button4,Visitar la herrería
EventCityEL.button4,Visitar la herrería
EventCityAct2.button4,Visitar la herrería
EventBlackSmithShowOptions.button4,Vender 1 mineral de aurium
EventBlackSmithItemAlreadyForgedItem3.text,<i>Lo siento, pero no puedo forjar más objetos con esta cantidad de mineral de aurium.</i>
EventBlackSmithAuriumUse3.text,Los héroes ganan la reliquia {c:QItemAuriumRelic2}.
EventBlackSmithAuriumUse3.button1,{qst:ContinueButton}
EventBlackSmithItemAlreadyForgedItem2.text,<i>Lo siento, pero no puedo forjar más objetos con esta cantidad de mineral de aurium.</i>
EventBlackSmithItemAlreadyForgedItem3.button1,{qst:ContinueButton}
EventBlackSmithItemAlreadyForgedItem4.text,<i>Lo siento, pero no puedo forjar más objetos con esta cantidad de mineral de aurium.</i>
EventBlackSmithItemAlreadyForgedItem4.button1,{qst:ContinueButton}
EventBlackSmithNotEnoughAuriumItem2.text,<i>No tenéis suficiente mineral de aurium.</i>
EventBlackSmithNotEnoughAuriumItem2.button1,{qst:ContinueButton}
EventBlackSmithNotEnoughAuriumItem3.text,<i>No tenéis suficiente mineral de aurium.</i>
EventBlackSmithNotEnoughAuriumItem3.button1,{qst:ContinueButton}
EventBlackSmithNotEnoughAuriumItem4.button1,{qst:ContinueButton}
EventBlackSmithNotEnoughAuriumItem4.text,<i>No tenéis suficiente mineral de aurium.</i>
EventBlackSmithShowOptions.button5,Cancelar
EventBlacksmithSellAuriumCheck.button1,Vender
EventBlacksmithSellAurium.text,El herrero te da {var:AuriumGoldSell} de oro por 1 mineral de aurium.
EventBlacksmithSellNoAurium.text,No tienes minerales de aurium.
EventBlacksmithSellNoAurium.button1,{qst:ContinueButton}
EventBlacksmithSellAurium.button1,{qst:ContinueButton}
EventBlacksmithSellAuriumCheck.text,¿Estáis seguros de que queréis vender 1 mineral de aurium por {var:AuriumGoldSell} de oro?
EventBlacksmithSellAuriumCheck.button2,Cancelar
UIAuriumDebug.text,Aurium: {var:%CurrentNumberOfAuriumPieces}
EventAuriumDebugAdd.button1,{qst:ContinueButton}
EventAuriumDebugRemove.button1,{qst:ContinueButton}
UIAuriumDebug.button1,Añadir Aurium
UIAuriumDebug.button2,Quitar Aurium
EventBlackSmithAuriumUse4_2.button1,{qst:ContinueButton}
EventBlackSmithAuriumUse4.text,<i>¡Esta es sin duda mi mejor obra hasta la fecha! </i>\n\n Los héroes ganan la reliquia {c:QItemAuriumRelic4_1}.\n\n<i> Y además tengo algo aún más especial para vuesas mercedes... </i>
EventCity.button1,Dejar la ciudad
EventCity.button2,Renovar el mercado
EventCity.button3,Ir al mercado negro
EventCityEL.button1,Dejar la ciudad
EventCityEL.button2,Renovar el mercado
EventCityEL.button3,Ir al mercado negro
EventBlackMarketVisited.text,Después de pagar la tarifa sigues a tu contacto a través de innumerables callejones hasta llegar al mercado negro. \n\n Encuentras otro mercader.
EventRestockAvailable.text,Debido a vuestros logros anteriores, el campamento ha sido capaz de atraer a varios comerciantes nuevos. \n\n Encuentras a otro mercader.
EventCityAct2.button1,Dejar la ciudad
EventCityAct2.button2,Renovar el mercado
EventCityAct2.button3,Ir al mercado negro
EventRestock.text,<i>Quizá haya otros mercaderes en la ciudad pero no estás seguro de que tengas tiempo suficiente para buscarlos. </i>\n\n Puedes renovar el mercado {var:%RestockAmount} veces.\n\n ¿Quieres renovar el mercado?
EventRestock.button1,Sí
EventRestock.button2,No
EventLeaveCity.text,¿De verdad quieres dejar la ciudad y partir hacia otra aventura?
EventLeaveCity.button1,Sí
EventLeaveCity.button2,No
EventRestockAvailable.button1,{qst:ContinueButton}
EventRestockNotAvailable.text,Por desgracia, los mercaderes no tienen nada más que ofrecerte. \n\n No consigues encontrar a otro mercader.
EventRestockNotAvailable.button1,{qst:ContinueButton}
EventBlackMarketCheck.text,Os llevará un par de horas encontrar a alguien que esté dispuesto a ofreceros mercancías menos legales. Y que os costará ... \n \n ¿Queréis pagar {var:EventBlackMarket1EntryGold} de Oro para acceder a otras mercancías?
EventBlackMarketCheck.button1,Sí
EventBlackMarketCheck.button2,No
EventBlackMarketAlreadyVisited.text,Ya has visitado el mercado negro. No hay nada más a la venta. \n\n No consigues encontrar a otro mercader.
EventBlackMarketAlreadyVisited.button1,{qst:ContinueButton}
EventBlackMarketVisited.button1,{qst:ContinueButton}
EventTravelEventRoadNothing.text,<b>Camino - No ocurre nada</b> \n\n <i>Viajas por el camino.</i> \n\n Sin efectos.
EventTravelEventRoadNothing.button1,{qst:ContinueButton}
EventTravelEventPlainsNothing.text,<b>Llanuras - No ocurre nada</b> \n\n <i>Viajas por las llanuras.</i> \n\n Sin efectos.
EventTravelEventPlainsNothing.button1,{qst:ContinueButton}
EventTravelEventForestNothing.text,<b>Bosque - No ocurre nada</b> \n\n <i>Viajas a través de un denso bosque.</i> \n\n Sin efectos.
EventTravelEventForestNothing.button1,{qst:ContinueButton}
